feature_id,namespace,key,english_present,present_locale_count,missing_locales,extra_locales,same_as_english_locales,source_file,availability
COMFY-SETTING-003,main,assetBrowser.missingModelImportTypeMismatchRequired,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.missingModelImportTypeMismatchTitle,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.missingModelImportUnknownType,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.missingModelImportWillReplace,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelAssociatedWithLink,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.addBaseModel,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.addTag,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.additionalTags,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.baseModelUnknown,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.basicInfo,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.compatibleBaseModels,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.description,yes,13,,,en | fr,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.descriptionNotSet,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.descriptionPlaceholder,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.displayName,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.editDisplayName,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.modelInfo.fileName,yes,13,,,en,src/locales/en/main.json,active
