feature_id,source_file,module,domain,public_functions,classes,function_count,class_count,command_ids,classification,evidence_level
COMFY-CLI-MODULE-51192AA94E19,comfy_cli/skills/command.py,comfy_cli.skills.command,agent skill integration,install_cmd | uninstall_cmd | list_cmd | show_cmd | status_cmd | validate_cmd,,11,0,COMFY-CLI-CMD-8A8931F13B18 | COMFY-CLI-CMD-D0B3E588E8D5 | COMFY-CLI-CMD-F481919C8317 | COMFY-CLI-CMD-BA32B74634CB | COMFY-CLI-CMD-D97B74052D25 | COMFY-CLI-CMD-FBA98D791DA2 | COMFY-CLI-CMD-FFC1196ABAB4 | COMFY-CLI-CMD-6A6DD1F2EC1E | COMFY-CLI-CMD-D490151B53A3 | COMFY-CLI-CMD-FC74D7E23B97 | COMFY-CLI-CMD-636CE572A2A0 | COMFY-CLI-CMD-8A9EBFF54B88,production module,code-inferred
COMFY-CLI-MODULE-77EA95DBF4F4,comfy_cli/standalone.py,comfy_cli.standalone,core service,download_standalone_python,StandalonePython,15,1,,production module,code-inferred
COMFY-CLI-MODULE-35F9E82017E7,comfy_cli/target.py,comfy_cli.target,core service,resolve_target,Target,3,1,,production module,code-inferred
COMFY-CLI-MODULE-680797D31FB4,comfy_cli/tracking.py,comfy_cli.tracking,core service,enable | disable | track_event | submit_feedback | submit_agent_review | filter_command_kwargs | track_command | prompt_tracking_consent | init_tracking,TelemetryProvider | MixpanelProvider | PostHogProvider,27,3,COMFY-CLI-CMD-84E4DF98EE55 | COMFY-CLI-CMD-1734C92AC241,production module,code-inferred
COMFY-CLI-MODULE-4BB3F954B7F9,comfy_cli/typing.py,comfy_cli.typing,core service,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-EB76A9CEC7D2,comfy_cli/ui.py,comfy_cli.ui,core service,show_progress | prompt_autocomplete | prompt_select | prompt_select_enum | prompt_input | prompt_multi_select | prompt_confirm_action | display_table | display_error_message,,9,0,,production module,code-inferred
COMFY-CLI-MODULE-FDC690932082,comfy_cli/update.py,comfy_cli.update,core service,check_for_newer_pypi_version | get_version_from_pyproject | upgrade_cli | latest_upgrade_version,,6,0,,production module,code-inferred
COMFY-CLI-MODULE-D2CB2A946059,comfy_cli/utils.py,comfy_cli.utils,core service,singleton | get_os | get_proc | install_conda_package | get_not_user_set_default_workspace | kill_all | is_running | create_choice_completer | download_url | extract_tarball | create_tarball,,15,0,,production module,code-inferred
COMFY-CLI-MODULE-A85CCA43AF4B,comfy_cli/uv.py,comfy_cli.uv,core service,pip_bootstrap_cmd | ensure_pip | parse_uv_compile_error | parse_req_file,DependencyCompiler,30,1,,production module,code-inferred
COMFY-CLI-MODULE-4A9F181D2618,comfy_cli/where.py,comfy_cli.where,core service,resolve | resolve_default | cloud_preflight,WhereTarget | WhereResolution | CloudError,6,3,,production module,code-inferred
COMFY-CLI-MODULE-F14A08CDAC9B,comfy_cli/workflow_to_api.py,comfy_cli.workflow_to_api,core service,is_api_format | is_subgraph_uuid | convert_ui_to_api | process_dynamic_prompt,WorkflowConversionError | _SubgraphCtx | _Tracers,47,3,,production module,code-inferred
COMFY-CLI-MODULE-38B330F16CA9,comfy_cli/workspace_manager.py,comfy_cli.workspace_manager,core service,check_comfy_repo | save_yaml | check_file_is_model,ModelPath | Model | Basics | CustomNode | ComfyLockYAMLStruct | WorkspaceType | WorkspaceManager,19,7,,production module,code-inferred
