feature_id,setting_id,label,schema_type,ui_type,default_expression,version_added,availability,source_file,line,localized_en,test
COMFY-SETTING-025,Comfy.ColorPalette,Comfy.ColorPalette,z.string(),hidden,'dark',,infrastructure-only,src/platform/settings/constants/coreSettings.ts,943,no,src/platform/settings/settingStore.test.ts
COMFY-WORKFLOW-058,Comfy.ConfirmClear,Require confirmation when clearing workflow,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,490,yes,
COMFY-SETTING-026,Comfy.CustomColorPalettes,Comfy.CustomColorPalettes,colorPalettesSchema,hidden,{} as ColorPalettes,,infrastructure-only,src/platform/settings/constants/coreSettings.ts,956,no,
COMFY-SETTING-027,Comfy.DOMClippingEnabled,Enable DOM element clipping (enabling may reduce performance),z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,761,yes,
COMFY-CLOUD-216,Comfy.Desktop.CloudNotificationShown,Comfy.Desktop.CloudNotificationShown,z.boolean(),hidden,false,,infrastructure-only,src/platform/settings/constants/coreSettings.ts,311,no,src/platform/cloud/notification/components/DesktopCloudNotificationController.test.ts
COMFY-SETTING-028,Comfy.DevMode,"Enable dev mode options (API save, etc.)",z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,572,yes,
COMFY-GRAPH-030,Comfy.DisableFloatRounding,Disable default float widget rounding.,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,531,yes,
COMFY-GRAPH-031,Comfy.DisableSliders,Disable node widget sliders,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,524,yes,
COMFY-SETTING-029,Comfy.EditAttention.Delta,Ctrl+up/down precision,z.number(),slider,0.05,,active,src/extensions/core/editAttention.ts,65,yes,
COMFY-SETTING-030,Comfy.EnableTooltips,Enable Tooltips,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,565,yes,src/renderer/extensions/vueNodes/components/NodeHeader.test.ts
COMFY-WORKFLOW-059,Comfy.EnableWorkflowViewRestore,Save and restore canvas position and zoom level in workflows,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,928,yes,
